title,genre,author,description
The Silent Patient,Psychological Thriller,Alex Michaelides,"A famous painter stops speaking after being accused of murdering her husband, and a determined therapist tries to uncover the truth."
Atomic Habits,Self-Help,James Clear,"A practical guide to building good habits, breaking bad ones, and making small changes that lead to remarkable results."
The Alchemist,Fiction,Paulo Coelho,A young shepherd travels from Spain to Egypt in search of treasure while discovering the importance of following his dreams.
1984,Dystopian,George Orwell,A man living under an oppressive totalitarian government begins questioning a society controlled by surveillance and propaganda.
To Kill a Mockingbird,Historical Fiction,Harper Lee,"A young girl learns about racism, injustice, and morality while her father defends a Black man falsely accused of a crime."
The Great Gatsby,Classic,F. Scott Fitzgerald,A mysterious millionaire throws extravagant parties while secretly pursuing a lost love from his past.
Pride and Prejudice,Romance,Jane Austen,"Elizabeth Bennet navigates relationships, social expectations, and her complicated feelings toward the wealthy Mr. Darcy."
The Hobbit,Fantasy,J.R.R. Tolkien,Bilbo Baggins leaves his peaceful home and joins a group of dwarves on an adventurous quest to reclaim their homeland.
Harry Potter and the Philosopher's Stone,Fantasy,J.K. Rowling,A young orphan discovers that he is a wizard and begins his magical education at Hogwarts School of Witchcraft and Wizardry.
The Catcher in the Rye,Coming-of-Age,J.D. Salinger,"A troubled teenager wanders through New York City while struggling with adulthood, identity, and his place in the world."
The Kite Runner,Historical Fiction,Khaled Hosseini,A man looks back on his childhood friendship in Afghanistan and seeks redemption for a painful mistake from his past.
Sapiens,History,Yuval Noah Harari,"An exploration of human history that examines how Homo sapiens developed societies, cultures, economies, and civilizations."
The Psychology of Money,Finance,Morgan Housel,"A collection of insights about how emotions, behavior, and personal experiences influence the way people manage money."
Dune,Science Fiction,Frank Herbert,A young nobleman becomes caught in a struggle for control of a desert planet whose valuable resource determines the fate of the galaxy.
The Book Thief,Historical Fiction,Markus Zusak,A young girl in Nazi Germany discovers the power of words and books while living through the horrors of war.
The Hunger Games,Dystopian,Suzanne Collins,A teenage girl volunteers to compete in a deadly televised competition where participants must fight for survival.
The Da Vinci Code,Mystery,Dan Brown,A symbologist and a cryptologist investigate a mysterious murder and uncover hidden secrets connected to history and religion.
The Midnight Library,Fantasy,Matt Haig,A woman discovers a mysterious library containing books that allow her to experience different versions of her life.
Educated,Memoir,Tara Westover,A memoir about a young woman who grows up isolated from formal education and eventually discovers the transformative power of learning.
Rich Dad Poor Dad,Personal Finance,Robert T. Kiyosaki,"The author compares two different approaches to money and discusses financial education, investing, and building wealth."
